Wall time,Step,Value
1559495470.2951574,0,9.999999747378752e-06
1559495904.5950067,1,9.999999747378752e-06
1559496338.2097998,2,9.999999747378752e-06
1559496772.0112915,3,9.999999747378752e-06
1559497224.4168785,4,9.999999747378752e-06
1559497659.6042042,5,9.999999747378752e-06
1559498093.175522,6,9.999999747378752e-06
1559498528.4090216,7,9.999999747378752e-06
1559498962.6828606,8,4.999999873689376e-06
1559499397.4491534,9,4.999999873689376e-06
1559499833.479869,10,2.499999936844688e-06
1559500269.323051,11,2.499999936844688e-06
1559500705.230832,12,1.249999968422344e-06
1559501140.9052987,13,1.249999968422344e-06
1559501576.0131102,14,9.999999974752427e-07
1559502011.8280013,15,9.999999974752427e-07
1559502447.5401762,16,9.999999974752427e-07
1559502883.094524,17,9.999999974752427e-07
1559503319.0613582,18,9.999999974752427e-07
1559503753.8925655,19,9.999999974752427e-07
