Wall time,Step,Value
1553722323.9379306,0,9.999999747378752e-06
1553722436.941559,1,9.999999747378752e-06
1553722547.9157102,2,9.999999747378752e-06
1553722677.8775728,3,9.999999747378752e-06
1553722792.1994524,4,9.999999747378752e-06
1553722907.9808416,5,9.999999747378752e-06
1553723022.5673454,6,9.999999747378752e-06
1553723138.264394,7,9.999999747378752e-06
1553723253.3153796,8,9.999999747378752e-06
1553723368.3792362,9,9.999999747378752e-06
1553723482.5622773,10,9.999999747378752e-06
1553723598.9407136,11,9.999999747378752e-06
1553723712.4181523,12,9.999999747378752e-06
1553723826.2648432,13,9.999999747378752e-06
1553723941.6368058,14,9.999999747378752e-06
1553724054.1944137,15,9.999999747378752e-06
1553724169.314693,16,9.999999747378752e-06
1553724284.2033417,17,9.999999747378752e-06
1553724398.8366256,18,9.999999747378752e-06
1553724512.9100995,19,9.999999747378752e-06
